X,Y,Z,TimeStamp,RunId,Id
11.594059405940595,0.6930693069306931,-2.495049504950495,1409058760080,10,15594
11.435643564356436,0.8118811881188119,-2.6831683168316833,1409058760099,10,15595
11.297029702970297,0.9603960396039604,-2.900990099009901,1409058760119,10,15596
11.158415841584159,0.9306930693069307,-2.702970297029703,1409058760138,10,15597
11.168316831683168,1.099009900990099,-2.6435643564356437,1409058760158,10,15598
11.04950495049505,1.2178217821782178,-2.4455445544554455,1409058760177,10,15599
10.861386138613861,1.297029702970297,-2.1881188118811883,1409058760197,10,15600
10.594059405940595,1.297029702970297,-2.2673267326732676,1409058760216,10,15601
10.643564356435643,1.188118811881188,-2.3069306930693068,1409058760236,10,15602
10.415841584158416,1.0792079207920793,-2.4356435643564356,1409058760256,10,15603
10.336633663366337,1.2475247524752475,-2.3465346534653464,1409058760275,10,15604
10.287128712871286,1.4356435643564356,-2.376237623762376,1409058760295,10,15605
9.930693069306932,1.495049504950495,-2.613861386138614,1409058760314,10,15606
9.930693069306932,1.3366336633663367,-2.8613861386138613,1409058760334,10,15607
9.871287128712872,1.118811881188119,-2.6930693069306932,1409058760353,10,15608
9.792079207920793,1.396039603960396,-3.0,1409058760373,10,15609
9.495049504950495,1.801980198019802,-3.1881188118811883,1409058760392,10,15610
9.425742574257425,2.2772277227722775,-3.1584158415841586,1409058760412,10,15611
9.376237623762377,2.3168316831683167,-3.3564356435643563,1409058760431,10,15612
9.465346534653465,2.217821782178218,-3.495049504950495,1409058760451,10,15613
9.485148514851485,2.207920792079208,-3.603960396039604,1409058760470,10,15614
9.267326732673267,2.3366336633663365,-3.4554455445544554,1409058760490,10,15615
9.217821782178218,2.5742574257425743,-3.5643564356435644,1409058760509,10,15616
9.148514851485148,2.297029702970297,-3.405940594059406,1409058760529,10,15617
9.198019801980198,2.227722772277228,-3.722772277227723,1409058760548,10,15618
8.792079207920793,2.0495049504950495,-3.504950495049505,1409058760568,10,15619
8.762376237623762,2.099009900990099,-3.504950495049505,1409058760588,10,15620
8.861386138613861,1.6237623762376239,-3.3267326732673266,1409058760607,10,15621
8.732673267326733,1.504950495049505,-3.2574257425742577,1409058760627,10,15622
8.831683168316832,1.5148514851485149,-3.3168316831683167,1409058760646,10,15623
8.742574257425742,1.4653465346534653,-3.0693069306930694,1409058760666,10,15624
8.930693069306932,1.4455445544554455,-3.0297029702970297,1409058760685,10,15625
8.861386138613861,1.6336633663366338,-3.0594059405940595,1409058760705,10,15626
8.693069306930694,1.6534653465346534,-3.1782178217821784,1409058760724,10,15627
8.900990099009901,1.6336633663366338,-3.297029702970297,1409058760744,10,15628
9.06930693069307,1.7722772277227723,-3.386138613861386,1409058760763,10,15629
9.306930693069306,1.8712871287128714,-3.376237623762376,1409058760783,10,15630
9.455445544554456,1.8910891089108912,-3.5346534653465347,1409058760802,10,15631
9.485148514851485,1.9801980198019802,-3.485148514851485,1409058760822,10,15632
9.584158415841584,1.9504950495049505,-3.514851485148515,1409058760841,10,15633
9.653465346534654,2.108910891089109,-3.5643564356435644,1409058760861,10,15634
9.94059405940594,2.1485148514851486,-3.633663366336634,1409058760881,10,15635
10.00990099009901,2.207920792079208,-3.5841584158415842,1409058760900,10,15636
10.217821782178218,2.1782178217821784,-3.742574257425743,1409058760920,10,15637
10.336633663366337,2.207920792079208,-3.5742574257425743,1409058760939,10,15638
10.217821782178218,2.0495049504950495,-3.5742574257425743,1409058760959,10,15639
10.287128712871286,2.1386138613861387,-3.405940594059406,1409058760978,10,15640
10.366336633663366,2.237623762376238,-3.376237623762376,1409058760998,10,15641
10.524752475247524,2.1584158415841586,-3.2574257425742577,1409058761017,10,15642
10.772277227722773,1.9603960396039604,-3.207920792079208,1409058761037,10,15643
10.881188118811881,1.9405940594059405,-3.0,1409058761056,10,15644
10.910891089108912,2.1881188118811883,-3.0297029702970297,1409058761076,10,15645
11.02970297029703,2.0297029702970297,-3.0,1409058761095,10,15646
10.950495049504951,1.8910891089108912,-2.8118811881188117,1409058761115,10,15647
10.94059405940594,1.6633663366336633,-2.5742574257425743,1409058761134,10,15648
10.653465346534654,1.8415841584158417,-2.2475247524752477,1409058761154,10,15649
10.96039603960396,1.6732673267326732,-2.0,1409058761173,10,15650
11.158415841584159,1.5247524752475248,-1.6732673267326732,1409058761193,10,15651
11.118811881188119,1.4356435643564356,-1.8514851485148516,1409058761213,10,15652
11.10891089108911,1.3267326732673268,-2.0495049504950495,1409058761232,10,15653
11.237623762376238,1.2772277227722773,-1.9108910891089108,1409058761252,10,15654
11.08910891089109,1.1584158415841583,-2.089108910891089,1409058761271,10,15655
11.178217821782178,0.8613861386138614,-1.9603960396039604,1409058761291,10,15656
11.386138613861386,1.0,-1.6237623762376239,1409058761310,10,15657
11.237623762376238,0.4752475247524752,-1.5445544554455446,1409058761330,10,15658
11.227722772277227,0.31683168316831684,-1.504950495049505,1409058761349,10,15659
11.07920792079208,0.31683168316831684,-1.4752475247524752,1409058761369,10,15660
11.158415841584159,0.5544554455445545,-1.495049504950495,1409058761388,10,15661
11.07920792079208,0.4158415841584158,-1.5148514851485149,1409058761408,10,15662
11.217821782178218,0.6237623762376238,-1.5445544554455446,1409058761427,10,15663
11.178217821782178,0.5643564356435644,-1.7425742574257426,1409058761447,10,15664
11.158415841584159,0.5148514851485149,-1.6435643564356437,1409058761466,10,15665
11.158415841584159,0.18811881188118812,-1.603960396039604,1409058761486,10,15666
11.00990099009901,-0.21782178217821782,-1.6534653465346534,1409058761506,10,15667
10.950495049504951,-0.39603960396039606,-1.5346534653465347,1409058761525,10,15668
10.900990099009901,-0.2079207920792079,-1.4752475247524752,1409058761545,10,15669
10.841584158415841,-0.039603960396039604,-1.5148514851485149,1409058761564,10,15670
10.910891089108912,0.04950495049504951,-1.504950495049505,1409058761584,10,15671
10.752475247524753,-0.21782178217821782,-1.5643564356435644,1409058761603,10,15672
10.742574257425742,0.0,-1.6534653465346534,1409058761623,10,15673
10.633663366336634,-0.04950495049504951,-1.4752475247524752,1409058761642,10,15674
10.693069306930694,-0.24752475247524752,-1.2079207920792079,1409058761662,10,15675
10.712871287128714,-0.15841584158415842,-1.0,1409058761681,10,15676
10.623762376237623,-0.34653465346534656,-0.7821782178217822,1409058761701,10,15677
10.485148514851485,-0.297029702970297,-0.5841584158415841,1409058761720,10,15678
